"","distance_from_border_type","distance_from_border_number"
"17","NON-CRIMINAL",7
"19","OBSCENITY",28
"1","ARSON",510
"14","LIQUOR LAW VIOLATION",639
"26","ROBBERY",14333
"11","INTERFERENCE WITH PUBLIC OFFICER",1294
"30","WEAPONS VIOLATION",4144
"24","PUBLIC INDECENCY",17
"25","PUBLIC PEACE VIOLATION",3321
"16","NARCOTICS",38350
"22","OTHER OFFENSE",19319
"12","INTIMIDATION",183
"2","ASSAULT",21434
"3","BATTERY",63999
"27","SEX OFFENSE",1110
"20","OFFENSE INVOLVING CHILDREN",2304
"13","KIDNAPPING",256
"28","STALKING",229
"6","CRIMINAL DAMAGE",38932
"4","BURGLARY",24501
"7","CRIMINAL TRESPASS",8725
"15","MOTOR VEHICLE THEFT",17897
"5","CRIM SEXUAL ASSAULT",1443
"10","HOMICIDE",545
"8","DECEPTIVE PRACTICE",13649
"29","THEFT",80558
"21","OTHER NARCOTIC VIOLATION",6
"23","PROSTITUTION",2253
"9","GAMBLING",807
"18","NON-CRIMINAL (SUBJECT SPECIFIED)",2
